Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
49643-314,Covid-19,Severe acute respiratory syndrome coronavirus,fever.dry cough.tiredness.sore throat.aches.pains                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,No known treatment                                 ,Josephine Morrall,(430) 5243463,114 Annamark Crossing
55648-924,HIV                                               ,It is a virus that attacks the body's immune system                                                 ,Chllis.rash.Night sweats.muscle aches                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,antiretroviral                                    ,Lorenza Bessent,(482) 9890942,84 International Crossing
66993-056,Tuberculosis                                      ,It is a dangerous bacterial infection that attacks your lungs                                       ,Cough up blood.fatique.Weight loss.fever                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Pyrazinamide                                      ,Horatius Kilby,(119) 9168473,43 Caliangt Lane
0378-0557,Cholera                                           ,It an infectious and often fatal bacterial disease of the small intestine                           ,Diarrhea.Neusea.Vomitting.dehydration                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Zinc Supplements                                  ,Hy Linder,(151) 6120318,73 Kinsman Trail
50419-453,Clusiaceae,Anaphylactic reaction due to food,Neurasthenia,Climara,Pembroke Swede,(364) 4571706,1178 Schmedeman Avenue
75857-1107,Parmeliaceae,"Laceration with foreign body of vocal cord, subsequent encounter",Hpt B chrn coma wo dlta,Antibactierial Hand Sanitizer,Alix Martinello,(104) 5979881,2915 Stuart Court
10424-143,Asteraceae,Epispadias,Multi gestat NEC-deliver,SyDerm,Gerda Kemme,(867) 6734394,93 Marquette Point
68400-115,Juncaceae,"Displaced dome fracture of left talus, initial encounter for closed fracture",Visual disturbance NOS,Gelato Neutral pH,Elyssa Zemler,(312) 6128818,3099 Iowa Court
55312-020,Myrtaceae,"Dislocation of C2/C3 cervical vertebrae, sequela",Ac duodenal ulcer w hem,Western Family,Bran Bumpus,(988) 2059027,9686 Banding Trail
36800-479,Plumbaginaceae,"Unspecified fracture of occiput, subsequent encounter for fracture with routine healing",Retrovert uter-postpart,Topcare Allergy,Blaire Barnsley,(272) 6784240,2 Messerschmidt Park
68405-007,Rimulariaceae,"Rupture of uterus before onset of labor, unspecified trimester",Uncert behavior neo NEC,Lytensopril-90,Aland Brandolini,(888) 7030325,94793 Dunning Alley
59779-629,Polygonaceae,"Nondisplaced fracture of coronoid process of right ulna, sequela",Hebephrenia-chr/exacerb,Motion Sickness,Nicola Minger,(926) 7886158,5097 Troy Avenue
76237-247,Liliaceae,Salter-Harris Type IV physeal fracture of calcaneus,Supraglottis w obstr NOS,Sucralfate,Amby Marham,(151) 2040348,77 Harper Junction
55714-4606,Euphorbiaceae,Salter-Harris Type III physeal fracture of lower end of right femur,Anesth compl NEC-deliver,Cell Salts,Augustine Iddons,(934) 4485803,7516 Merry Hill
64942-1101,Cyperaceae,Unspecified fracture of navicular [scaphoid] bone of left wrist,Fit contact lens/glasses,Axe,Archer MacAdam,(304) 7795755,4481 Judy Point
65044-3381,Ranunculaceae,"Blister (nonthermal) of right ring finger, subsequent encounter",Dis mineral metabol NOS,"Food - Dairy Products, Casein, Cow Milk",Adriane Domaschke,(428) 3736610,32653 Washington Street
49349-266,Poaceae,"Toxic effect of contact with Portugese Man-o-war, assault",Fetal chromoso abn-deliv,Hydrochlorothiazide,Ali Dronsfield,(804) 4638532,20 Fieldstone Way
63739-572,Brassicaceae,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for open fracture type I or II",Postmeasles pneumonia,Simvastatin,Kele Beard,(282) 3930942,81666 Amoth Street
66949-928,Polygonaceae,"Toxic effect of cadmium and its compounds, assault, sequela",Interstit keratitis NEC,Zepaseptic,Jacky Colmore,(163) 7093550,4709 Carberry Point
50017-026,Campanulaceae,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",Respiratory distress syn,BabyB BabySaver,Merna Pozer,(390) 9957526,93 Hallows Terrace
67684-2000,Asteraceae,Struck by basketball,Lichen NOS,DOTAREM,Rafaello Devanny,(434) 6045553,575 Fremont Parkway
49580-0384,Fabaceae,"Complete lesion at C5 level of cervical spinal cord, initial encounter",Upper resp dis NEC/NOS,Tussin DM Cough and Chest Congestion,Gilligan Berk,(165) 7999640,243 Reindahl Center
0054-0211,Lecythidaceae,"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for closed fracture",Endocrine disorder NOS,Protriptyline Hydrochloride,Erroll Wadlow,(160) 4769731,6933 Carey Terrace
0168-0482,Scrophulariaceae,"Kaschin-Beck disease, ankle and foot",Photokeratitis,Methscopolamine Bromide,Melina Benedtti,(120) 8795538,904 Warner Place
10544-159,Asteraceae,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",Mv-train coll-st car,Cyclobenzaprine Hydrochloride,Winna Medway,(437) 4472137,5762 Anhalt Point
66184-533,Poaceae,"Other physeal fracture of phalanx of unspecified toe, subsequent encounter for fracture with routine healing",Cerebrovasc dis-antepart,ck one all day perfection face makeup,Kelcy Caskey,(657) 9096324,65 Maple Way
51143-053,Rosaceae,"Unspecified effects of vibration, sequela",Corneal ulcer NOS,Hand Sanitizer,Clemmy Lintott,(847) 6643846,3887 Cody Point
0268-6557,Cyperaceae,"Subluxation of proximal interphalangeal joint of right little finger, subsequent encounter",Anorexia,TRICHOPHYTON MENTAGROPHYTES,Clevey Coghill,(143) 4224712,65 Farmco Place
54868-6178,Dryopteridaceae,"Unspecified injury of muscle, fascia and tendon of pelvis, initial encounter",Cryst arthrop NOS-shldr,Paroxetine Hydrochloride,Sioux De Meyer,(953) 3267419,045 Roxbury Lane
75990-605,Ditrichaceae,"Salter-Harris Type I physeal fracture of lower end of left tibia, sequela",Aplastic anemias NEC,Recens,Crissy Romer,(831) 7548288,23 Autumn Leaf Trail
17089-231,Poaceae,"Laceration of duodenum, subsequent encounter",Amniotic prob NEC-unspec,GUNA-FEM,Lombard Wallentin,(727) 3667766,680 Larry Point
0054-8207,Pyrenulaceae,Other physeal fracture of lower end of left fibula,Recur manic-full remiss,Diazepam,Mab Burk,(229) 8918648,49 Graceland Street
0904-5855,Ephemeraceae,Other symptomatic late syphilis,Fibroadenosis of breast,Ibuprofen,Beilul Elles,(964) 2256354,02 New Castle Lane
63002-002,Simaroubaceae,Malposition of uterus,Fam hx MEN syndrome,Byotrol Hand Sanitizer,Peyton Burgisi,(569) 7425591,05989 Lotheville Way
68745-1145,Fabaceae,"Nondisplaced fracture of distal phalanx of left little finger, subsequent encounter for fracture with nonunion",RR coll NOS-person NOS,VITALUMIERE,Butch Bothie,(115) 1221330,44118 Ilene Crossing
36987-3177,Fabaceae,"Unspecified injury of left wrist, hand and finger(s)",Hodgkins paragran inguin,Yellow Dock,Holly-anne Jankiewicz,(585) 5097766,60167 Waywood Court
50462-110,Fagaceae,"Other injury of flexor muscle, fascia and tendon of other finger at wrist and hand level, initial encounter",Status amput ankle,Noble Lion Medicated Balm,Aprilette Santer,(222) 8405083,01 Columbus Terrace
63824-760,Lamiaceae,"Bent bone of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",Oth lym leuk w rmsion,Cepacol Sensations,Leesa Greetland,(141) 2517360,46 Independence Hill
68462-300,Rosaceae,"Fracture of unspecified part of left clavicle, initial encounter for open fracture",Asym bacteriuria-deliver,Alclometasone Dipropionate,Dona Schober,(717) 9922846,3 Village Green Parkway
62362-184,Poaceae,"Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",Giardiasis,Neova Day Therapy,Elnore Wiles,(326) 1135797,1 Sundown Crossing
0781-5406,Ericaceae,"Injury of digital nerve of left thumb, subsequent encounter",Light-for-dates <500g,Lorazepam,Letizia Ortmann,(181) 6330708,67798 Logan Lane
63940-121,Lamiaceae,Transient ischemic deafness,Circadian rhy-advc sleep,Face Values - AM Facial Moisturizing Broad Spectrum SPF30 Sunscreen,Crawford Nuschke,(337) 6939407,18595 Spaight Hill
37000-823,Rosaceae,"Person on outside of bus injured in collision with car, pick-up truck or van in traffic accident",Disc dis NEC/NOS-unspec,Crest Complete Multi-Benefit,Abbe Spadazzi,(935) 5722783,02275 Oak Valley Hill
17478-837,Asteraceae,Other specified malignant neoplasm of anal skin,"Old detachment, partial",Diltiazem Hydrochloride,Caddric Caustick,(112) 9800421,80931 Summerview Plaza
49288-0629,Juncaceae,"Burn of unspecified degree of unspecified ankle, initial encounter",Screening for rubella,Tall Dock,Phil Tumpane,(771) 1705267,9446 Moulton Avenue
52125-531,Cyperaceae,Puncture wound without foreign body of lower leg,Cl skl w oth fx-mod coma,Furosemide,Jasper Ayling,(113) 4154085,4961 Beilfuss Hill
0591-2522,Poaceae,"Displaced fracture of distal pole of navicular [scaphoid] bone of right wrist, subsequent encounter for fracture with routine healing",Thrombophlebit-postpart,Metronidazole,Gil Eggleston,(536) 7407539,2318 West Place
